type_index,namespace,name
1119,System.Text.RegularExpressions,Capture
1120,System.Text.RegularExpressions,CaptureCollection
1121,System.Text.RegularExpressions,Group
1122,System.Text.RegularExpressions,GroupCollection
1123,System.Text.RegularExpressions,Match
1124,System.Text.RegularExpressions,MatchCollection
1125,,Enumerator
1126,System.Text.RegularExpressions,Regex
1127,System.Text.RegularExpressions,RegexOptions
1128,System.Text.RegularExpressions,OpCode
1129,System.Text.RegularExpressions,OpFlags
1130,System.Text.RegularExpressions,Position
1131,System.Text.RegularExpressions,IMachine
1132,System.Text.RegularExpressions,IMachineFactory
1133,System.Text.RegularExpressions,FactoryCache
1134,,Key
1135,System.Text.RegularExpressions,MRUList
1136,,Node
1137,System.Text.RegularExpressions,Category
1138,System.Text.RegularExpressions,CategoryUtils
1139,System.Text.RegularExpressions,LinkRef
1140,System.Text.RegularExpressions,ICompiler
1141,System.Text.RegularExpressions,InterpreterFactory
1142,System.Text.RegularExpressions,PatternCompiler
1143,,PatternLinkStack
1144,,Link
1145,System.Text.RegularExpressions,LinkStack
1146,System.Text.RegularExpressions,Mark
1147,System.Text.RegularExpressions,Interpreter
1148,,IntStack
1149,,RepeatContext
1150,,Mode
1151,System.Text.RegularExpressions,Interval
1152,System.Text.RegularExpressions,IntervalCollection
1153,,Enumerator
1154,,CostDelegate
1155,System.Text.RegularExpressions.Syntax,Parser
1156,System.Text.RegularExpressions,QuickSearch
1157,System.Text.RegularExpressions.Syntax,ExpressionCollection
1158,System.Text.RegularExpressions.Syntax,Expression
1159,System.Text.RegularExpressions.Syntax,CompositeExpression
1160,System.Text.RegularExpressions.Syntax,Group
1161,System.Text.RegularExpressions.Syntax,RegularExpression
1162,System.Text.RegularExpressions.Syntax,CapturingGroup
1163,System.Text.RegularExpressions.Syntax,BalancingGroup
1164,System.Text.RegularExpressions.Syntax,NonBacktrackingGroup
1165,System.Text.RegularExpressions.Syntax,Repetition
1166,System.Text.RegularExpressions.Syntax,Assertion
1167,System.Text.RegularExpressions.Syntax,CaptureAssertion
1168,System.Text.RegularExpressions.Syntax,ExpressionAssertion
1169,System.Text.RegularExpressions.Syntax,Alternation
1170,System.Text.RegularExpressions.Syntax,Literal
1171,System.Text.RegularExpressions.Syntax,PositionAssertion
1172,System.Text.RegularExpressions.Syntax,Reference
1173,System.Text.RegularExpressions.Syntax,BackslashNumber
1174,System.Text.RegularExpressions.Syntax,CharacterClass
1175,System.Text.RegularExpressions.Syntax,AnchorInfo
1176,System,DefaultUriParser
1177,System,GenericUriParser
1178,System,Uri
1179,,UriScheme
1180,System,UriFormatException
1181,System,UriHostNameType
1182,System,UriKind
1183,System,UriParser
1184,System,UriPartial
1185,System,UriTypeConverter
1186,System.Net.Security,RemoteCertificateValidationCallback
1187,,<PrivateImplementationDetails>
1188,,$ArrayType$128
1189,,$ArrayType$12
1190,,<Module>
1191,System.Runtime.CompilerServices,ExtensionAttribute
1192,,Locale
1193,System,MonoTODOAttribute
1194,Mono.Security.Cryptography,KeyBuilder
1195,Mono.Security.Cryptography,SymmetricTransform
1196,System.Collections.Generic,HashSet`1
1197,,Link
1198,,Enumerator
1199,,PrimeHelper
1200,System.Linq,Check
1201,System.Linq,Enumerable
1202,,<CreateWhereIterator>c__Iterator1D`1
1203,System.Linq,IOrderedEnumerable`1
1204,System.Linq,OrderedEnumerable`1
1205,System.Linq,OrderedSequence`2
1206,System.Linq,QuickSort`1
1207,,<Sort>c__Iterator21
1208,System.Linq,SortContext`1
1209,System.Linq,SortDirection
1210,System.Linq,SortSequenceContext`2
1211,System.Security.Cryptography,Aes
1212,System.Security.Cryptography,AesManaged
1213,System.Security.Cryptography,AesTransform
1214,System,Action
1215,System,Action`2
1216,System,Func`2
1217,System,Func`3
1218,,<PrivateImplementationDetails>
1219,,$ArrayType$136
1220,,$ArrayType$120
1221,,$ArrayType$256
1222,,$ArrayType$1024
1223,,<Module>
1224,UnityEngine,Application
1225,,LowMemoryCallback
1226,,LogCallback
1227,UnityEngine,AssetBundleCreateRequest
1228,UnityEngine,AssetBundleRequest
1229,UnityEngine,AsyncOperation
1230,UnityEngine,SystemInfo
1231,UnityEngine,WaitForSeconds
1232,UnityEngine,WaitForFixedUpdate
1233,UnityEngine,WaitForEndOfFrame
1234,UnityEngine,CustomYieldInstruction
1235,UnityEngine,Coroutine
1236,UnityEngine,ScriptableObject
1237,UnityEngine,FailedToLoadScriptObject
1238,UnityEngine,Behaviour
1239,UnityEngine,Camera
1240,,CameraCallback
1241,UnityEngine,Component
1242,UnityEngine,CullingGroupEvent
1243,UnityEngine,CullingGroup
1244,,StateChanged
1245,UnityEngine,CursorLockMode
1246,UnityEngine,Cursor
1247,UnityEngine,DebugLogHandler
1248,UnityEngine,Debug
1249,UnityEngine,Display
1250,,DisplaysUpdatedDelegate
1251,UnityEngine,GameObject
1252,UnityEngine,Gradient
1253,UnityEngine,Renderer
1254,UnityEngine,Screen
1255,UnityEngine,RectOffset
1256,UnityEngine,GUIElement
1257,UnityEngine,GUILayer
1258,UnityEngine,TouchScreenKeyboard
1259,UnityEngine,TouchPhase
1260,UnityEngine,IMECompositionMode
1261,UnityEngine,TouchType
1262,UnityEngine,Touch
1263,UnityEngine,Gyroscope
1264,UnityEngine,Input
1265,UnityEngine,LayerMask
1266,UnityEngine,Vector3
1267,UnityEngine,Quaternion
1268,UnityEngine,Matrix4x4
1269,UnityEngine,Bounds
1270,UnityEngine,Mathf
1271,UnityEngine,Keyframe
1272,UnityEngine,AnimationCurve
1273,UnityEngine,Mesh
1274,,InternalShaderChannel
1275,,InternalVertexChannelType
1276,UnityEngine,MonoBehaviour
1277,UnityEngine,PlayerPrefsException
1278,UnityEngine,PlayerPrefs
1279,UnityEngine,Random
1280,UnityEngine,ResourceRequest
1281,UnityEngine,Resources
1282,UnityEngine,Shader
1283,UnityEngine,Material
1284,UnityEngine,SortingLayer
1285,UnityEngine,Sprite
1286,UnityEngine,SpriteRenderer
1287,UnityEngine.Sprites,DataUtility
1288,UnityEngine,Texture
1289,UnityEngine,Texture2D
1290,UnityEngine,RenderTexture
1291,UnityEngine,Time
1292,UnityEngine,HideFlags
1293,UnityEngine,Object
1294,UnityEngine,YieldInstruction
1295,UnityEngine.Playables,PlayableHandle
1296,UnityEngine.Playables,Playable
1297,UnityEngine.Playables,DataStreamType
1298,UnityEngine.Playables,PlayableGraph
1299,UnityEngine.Playables,PlayableOutputHandle
1300,UnityEngine.Playables,PlayableOutput
1301,UnityEngine.SceneManagement,Scene
1302,UnityEngine.SceneManagement,LoadSceneMode
1303,UnityEngine.SceneManagement,SceneManager
1304,UnityEngine.Experimental.Rendering,ScriptableRenderContext
1305,UnityEngine,Transform
1306,,Enumerator
1307,UnityEngine,DrivenTransformProperties
1308,UnityEngine,DrivenRectTransformTracker
1309,UnityEngine,RectTransform
1310,,ReapplyDrivenProperties
1311,,Edge
1312,,Axis
1313,UnityEngine.U2D,SpriteAtlasManager
1314,,RequestAtlasCallback
1315,UnityEngine.U2D,SpriteAtlas
1316,UnityEngine,AttributeHelperEngine
1317,UnityEngine,DisallowMultipleComponent
1318,UnityEngine,RequireComponent
1319,UnityEngine,AddComponentMenu
1320,UnityEngine,ContextMenu
1321,UnityEngine,ExecuteInEditMode
1322,UnityEngine,DefaultExecutionOrder
1323,UnityEngine,IL2CPPStructAlignmentAttribute
1324,UnityEngine,NativeClassAttribute
1325,UnityEngine,AssemblyIsEditorAssembly
1326,UnityEngine,WritableAttribute
1327,UnityEngine.Scripting,GeneratedByOldBindingsGeneratorAttribute
1328,UnityEngine,SendMessageOptions
1329,UnityEngine,RuntimePlatform
1330,UnityEngine,OperatingSystemFamily
1331,UnityEngine,LogType
1332,UnityEngine,ClassLibraryInitializer
1333,UnityEngine,Color
1334,UnityEngine,Color32
1335,UnityEngine,SetupCoroutine
1336,UnityEngine,CameraClearFlags
1337,UnityEngine,TextureWrapMode
1338,UnityEngine.Rendering,CompareFunction
1339,UnityEngine.Rendering,ColorWriteMask
1340,UnityEngine.Rendering,StencilOp
1341,UnityEngine,KeyCode
1342,UnityEngine,ManagedStreamHelpers
1343,UnityEngineInternal,MathfInternal
1344,UnityEngineInternal,ScriptingUtils
1345,UnityEngine,SendMouseEvents
1346,,HitInfo
1347,UnityEngine,Plane
1348,UnityEngine,PropertyAttribute
1349,UnityEngine,TooltipAttribute
1350,UnityEngine,SpaceAttribute
1351,UnityEngine,RangeAttribute
1352,UnityEngine,TextAreaAttribute
1353,UnityEngine,PropertyNameUtils
1354,UnityEngine,PropertyName
1355,UnityEngine,RangeInt
1356,UnityEngine,Ray
1357,UnityEngine,Rect
1358,UnityEngine,SelectionBaseAttribute
1359,UnityEngine,SerializePrivateVariables
1360,UnityEngine,SerializeField
1361,UnityEngine,PreferBinarySerialization
1362,UnityEngine,ISerializationCallbackReceiver
1363,UnityEngine,StackTraceUtility
1364,UnityEngine,UnityException
1365,UnityEngine,TouchScreenKeyboardType
1366,UnityEngine,TrackedReference
1367,UnityEngine.Events,PersistentListenerMode
1368,UnityEngine.Events,ArgumentCache
1369,UnityEngine.Events,BaseInvokableCall
1370,UnityEngine.Events,InvokableCall
1371,UnityEngine.Events,InvokableCall`1
1372,UnityEngine.Events,InvokableCall`2
1373,UnityEngine.Events,InvokableCall`3
1374,UnityEngine.Events,InvokableCall`4
1375,UnityEngine.Events,CachedInvokableCall`1
1376,UnityEngine.Events,UnityEventCallState
1377,UnityEngine.Events,PersistentCall
1378,UnityEngine.Events,PersistentCallGroup
1379,UnityEngine.Events,InvokableCallList
1380,UnityEngine.Events,UnityEventBase
1381,UnityEngine.Events,UnityAction
1382,UnityEngine.Events,UnityEvent
1383,UnityEngine.Events,UnityAction`1
1384,UnityEngine.Events,UnityEvent`1
1385,UnityEngine.Events,UnityAction`2
1386,UnityEngine.Events,UnityEvent`2
1387,UnityEngine.Events,UnityAction`3
1388,UnityEngine.Events,UnityEvent`3
1389,UnityEngine.Events,UnityAction`4
1390,UnityEngine.Events,UnityEvent`4
1391,UnityEngine,UnityString
1392,UnityEngine,UnitySynchronizationContext
1393,,WorkRequest
1394,UnityEngine,Vector2
1395,UnityEngine,Vector4
1396,UnityEngine,WaitForSecondsRealtime
1397,UnityEngine.Bindings,IBindingsAttribute
1398,UnityEngine.Bindings,UnmarshalledAttribute
1399,UnityEngine,ThreadAndSerializationSafeAttribute
1400,UnityEngine.Collections,ReadOnlyAttribute
1401,UnityEngine.Collections,ReadWriteAttribute
1402,UnityEngine.Collections,WriteOnlyAttribute
1403,UnityEngine.Collections,DeallocateOnJobCompletionAttribute
1404,UnityEngine.Collections,NativeContainerAttribute
1405,UnityEngine.Collections,NativeContainerSupportsAtomicWriteAttribute
1406,UnityEngine.Collections,NativeContainerSupportsMinMaxWriteRestrictionAttribute
1407,UnityEngine.Playables,IPlayable
1408,UnityEngine.Playables,IPlayableBehaviour
1409,UnityEngine.Playables,IPlayableOutput
1410,UnityEngine.Playables,PlayableBinding
1411,UnityEngine.Playables,IPlayableAsset
1412,UnityEngine.Playables,PlayableAsset
1413,UnityEngine.Playables,PlayableBehaviour
1414,UnityEngine.Playables,ScriptPlayableOutput
1415,UnityEngine.Internal,DefaultValueAttribute
1416,UnityEngine.Internal,ExcludeFromDocsAttribute
1417,UnityEngine,ILogger
1418,UnityEngine,ILogHandler
1419,UnityEngine,Logger
1420,UnityEngine.Networking.PlayerConnection,MessageEventArgs
1421,UnityEngine.Networking.PlayerConnection,IEditorPlayerConnection
1422,UnityEngine.Networking.PlayerConnection,PlayerConnection
1423,UnityEngine.Networking.PlayerConnection,PlayerEditorConnectionEvents
1424,,MessageEvent
1425,,ConnectionChangeEvent
1426,,MessageTypeSubscribers
1427,,<InvokeMessageIdSubscribers>c__AnonStorey0
1428,UnityEngine.Experimental.Rendering,IRenderPipeline
1429,UnityEngine.Experimental.Rendering,IRenderPipelineAsset
1430,UnityEngine.Experimental.Rendering,RenderPipelineManager
1431,UnityEngine.Scripting,UsedByNativeCodeAttribute
1432,UnityEngine.Scripting,RequiredByNativeCodeAttribute
1433,UnityEngine.Serialization,FormerlySerializedAsAttribute
1434,UnityEngineInternal,TypeInferenceRules
1435,UnityEngineInternal,TypeInferenceRuleAttribute
1436,UnityEngineInternal,GenericStack
1437,UnityEngineInternal,NetFxCoreExtensions
1438,UnityEngine.CSSLayout,CSSMeasureFunc
1439,UnityEngine.CSSLayout,CSSMeasureMode
1440,UnityEngine.CSSLayout,CSSSize
1441,UnityEngine.CSSLayout,Native
1442,,<Module>
1443,UnityEngine,Physics2D
1444,UnityEngine,ContactFilter2D
1445,UnityEngine,Rigidbody2D
1446,UnityEngine,Collider2D
1447,UnityEngine,BoxCollider2D
1448,UnityEngine,ContactPoint2D
1449,UnityEngine,Collision2D
1450,UnityEngine,RaycastHit2D
1451,,<Module>
1452,UnityEngine,TextAnchor
1453,UnityEngine,HorizontalWrapMode
1454,UnityEngine,VerticalWrapMode
1455,UnityEngine,Font
1456,,FontTextureRebuildCallback
1457,UnityEngine,UICharInfo
1458,UnityEngine,UILineInfo
1459,UnityEngine,UIVertex
1460,UnityEngine,TextGenerator
1461,UnityEngine,FontStyle
1462,UnityEngine,TextGenerationError
1463,UnityEngine,TextGenerationSettings
1464,,<Module>
1465,UnityEngine.Animations,AnimationClipPlayable
1466,UnityEngine.Animations,AnimationLayerMixerPlayable
1467,UnityEngine.Animations,AnimationMixerPlayable
1468,UnityEngine.Animations,AnimationOffsetPlayable
1469,UnityEngine.Animations,AnimationPlayableOutput
1470,UnityEngine,AnimationEventSource
1471,UnityEngine,AnimationEvent
1472,UnityEngine,AnimationState
1473,UnityEngine,AnimatorClipInfo
1474,UnityEngine,AnimatorStateInfo
1475,UnityEngine,AnimatorTransitionInfo
1476,UnityEngine,Animator
1477,UnityEngine.Animations,AnimatorControllerPlayable
1478,UnityEngine,SkeletonBone
1479,UnityEngine,HumanLimit
1480,UnityEngine,HumanBone
1481,UnityEngine,SharedBetweenAnimatorsAttribute
1482,UnityEngine,StateMachineBehaviour
1483,,<Module>
1484,UnityEngine,AudioSettings
1485,,AudioConfigurationChangeHandler
1486,UnityEngine,AudioExtensionManager
1487,UnityEngine,AudioClip
1488,,PCMReaderCallback
1489,,PCMSetPositionCallback
1490,UnityEngine,AudioListener
1491,UnityEngine,AudioSource
1492,UnityEngine.Audio,AudioMixerPlayable
1493,UnityEngine.Audio,AudioClipPlayable
1494,UnityEngine.Audio,AudioPlayableOutput
1495,UnityEngine,AudioExtensionDefinition
1496,UnityEngine,AudioSpatializerExtensionDefinition
1497,UnityEngine,AudioAmbisonicExtensionDefinition
1498,UnityEngine,AudioListenerExtension
1499,UnityEngine,AudioSourceExtension
1500,,<Module>
1501,UnityEngine,Event
1502,UnityEngine,GUI
1503,,WindowFunction
1504,UnityEngine,GUILayoutUtility
1505,,LayoutCache
1506,UnityEngine,GUISettings
1507,UnityEngine,GUIStyleState
1508,UnityEngine,GUIStyle
1509,UnityEngine,GUIUtility
1510,UnityEngine,EventType
1511,UnityEngine,EventModifiers
1512,UnityEngine,GUIContent
1513,UnityEngine,GUILayout
1514,UnityEngine,GUILayoutOption
1515,,Type
1516,UnityEngine,GUILayoutGroup
1517,UnityEngine,GUIScrollGroup
1518,UnityEngine,GUILayoutEntry
1519,UnityEngine,GUISkin
1520,,SkinChangedDelegate
1521,UnityEngine,GUITargetAttribute
1522,UnityEngine,ExitGUIException
1523,UnityEngine,ScrollViewState
1524,UnityEngine,SliderState
1525,UnityEngine,TextEditor
1526,,DblClickSnapping
1527,,<Module>
1528,UnityEngine,Physics
1529,UnityEngine,Collider
1530,UnityEngine,RaycastHit
1531,,<Module>
1532,UnityEngine.Tilemaps,TileFlags
1533,UnityEngine.Tilemaps,Tile
1534,,ColliderType
1535,UnityEngine.Tilemaps,TileBase
1536,,<Module>
1537,UnityEngine,RenderMode
1538,UnityEngine,Canvas
1539,,WillRenderCanvases
1540,UnityEngine,UISystemProfilerApi
1541,,SampleType
1542,UnityEngine,ICanvasRaycastFilter
1543,UnityEngine,CanvasGroup
1544,UnityEngine,CanvasRenderer
1545,UnityEngine,RectTransformUtility
1546,,<Module>
1547,UnityEngine,RemoteSettings
1548,,UpdatedEventHandler
1549,UnityEngine.Analytics,AnalyticsSessionState
1550,UnityEngine.Analytics,AnalyticsSessionInfo
1551,,SessionStateChanged
1552,,<Module>
1553,UnityEngineInternal,WebRequestUtils
1554,,<Module>
1555,,<Module>
1556,UnityEngine.EventSystems,EventHandle
1557,UnityEngine.EventSystems,IEventSystemHandler
1558,UnityEngine.EventSystems,IPointerEnterHandler
1559,UnityEngine.EventSystems,IPointerExitHandler
1560,UnityEngine.EventSystems,IPointerDownHandler
1561,UnityEngine.EventSystems,IPointerUpHandler
1562,UnityEngine.EventSystems,IPointerClickHandler
1563,UnityEngine.EventSystems,IBeginDragHandler
1564,UnityEngine.EventSystems,IInitializePotentialDragHandler
1565,UnityEngine.EventSystems,IDragHandler
1566,UnityEngine.EventSystems,IEndDragHandler
1567,UnityEngine.EventSystems,IDropHandler
1568,UnityEngine.EventSystems,IScrollHandler
1569,UnityEngine.EventSystems,IUpdateSelectedHandler
1570,UnityEngine.EventSystems,ISelectHandler
1571,UnityEngine.EventSystems,IDeselectHandler
1572,UnityEngine.EventSystems,IMoveHandler
1573,UnityEngine.EventSystems,ISubmitHandler
1574,UnityEngine.EventSystems,ICancelHandler
1575,UnityEngine.EventSystems,EventSystem
1576,UnityEngine.EventSystems,EventTrigger
1577,,TriggerEvent
1578,,Entry
1579,UnityEngine.EventSystems,EventTriggerType
1580,UnityEngine.EventSystems,ExecuteEvents
1581,,EventFunction`1
1582,UnityEngine.EventSystems,MoveDirection
1583,UnityEngine.EventSystems,RaycasterManager
1584,UnityEngine.EventSystems,RaycastResult
1585,UnityEngine.EventSystems,UIBehaviour
1586,UnityEngine.EventSystems,AxisEventData
1587,UnityEngine.EventSystems,AbstractEventData
1588,UnityEngine.EventSystems,BaseEventData
1589,UnityEngine.EventSystems,PointerEventData
1590,,InputButton
1591,,FramePressState
1592,UnityEngine.EventSystems,BaseInput
1593,UnityEngine.EventSystems,BaseInputModule
1594,UnityEngine.EventSystems,PointerInputModule
1595,,ButtonState
1596,,MouseState
1597,,MouseButtonEventData
1598,UnityEngine.EventSystems,StandaloneInputModule
1599,,InputMode
1600,UnityEngine.EventSystems,TouchInputModule
1601,UnityEngine.EventSystems,BaseRaycaster
1602,UnityEngine.EventSystems,Physics2DRaycaster
1603,UnityEngine.EventSystems,PhysicsRaycaster
1604,UnityEngine.UI.CoroutineTween,ITweenValue
1605,UnityEngine.UI.CoroutineTween,ColorTween
1606,,ColorTweenMode
1607,,ColorTweenCallback
1608,UnityEngine.UI.CoroutineTween,FloatTween
1609,,FloatTweenCallback
1610,UnityEngine.UI.CoroutineTween,TweenRunner`1
1611,,<Start>c__Iterator0
1612,UnityEngine.UI,AnimationTriggers
1613,UnityEngine.UI,Button
1614,,ButtonClickedEvent
1615,,<OnFinishSubmit>c__Iterator0
1616,UnityEngine.UI,CanvasUpdate
1617,UnityEngine.UI,ICanvasElement
1618,UnityEngine.UI,CanvasUpdateRegistry
1619,UnityEngine.UI,ColorBlock
1620,UnityEngine.UI,DefaultControls
1621,,Resources
1622,UnityEngine.UI,Dropdown
1623,,DropdownItem
1624,,OptionData
1625,,OptionDataList
1626,,DropdownEvent
1627,,<Show>c__AnonStorey1
1628,,<DelayedDestroyDropdownList>c__Iterator0
1629,UnityEngine.UI,FontData
1630,UnityEngine.UI,FontUpdateTracker
1631,UnityEngine.UI,Graphic
1632,UnityEngine.UI,GraphicRaycaster
1633,,BlockingObjects
1634,UnityEngine.UI,GraphicRegistry
1635,UnityEngine.UI,IGraphicEnabledDisabled
1636,UnityEngine.UI,Image
1637,,Type
1638,,FillMethod
1639,,OriginHorizontal
1640,,OriginVertical
1641,,Origin90
1642,,Origin180
1643,,Origin360
1644,UnityEngine.UI,IMask
1645,UnityEngine.UI,IMaskable
1646,UnityEngine.UI,InputField
1647,,ContentType
1648,,InputType
1649,,CharacterValidation
1650,,LineType
1651,,OnValidateInput
1652,,SubmitEvent
1653,,OnChangeEvent
1654,,EditState
1655,,<CaretBlink>c__Iterator0
1656,,<MouseDragOutsideRect>c__Iterator1
1657,UnityEngine.UI,Mask
1658,UnityEngine.UI,MaskableGraphic
1659,,CullStateChangedEvent
1660,UnityEngine.UI,MaskUtilities
1661,UnityEngine.UI,Misc
1662,UnityEngine.UI,Navigation
1663,,Mode
1664,UnityEngine.UI,RawImage
1665,UnityEngine.UI,RectMask2D
1666,UnityEngine.UI,Scrollbar
1667,,Direction
1668,,ScrollEvent
1669,,Axis
1670,,<ClickRepeat>c__Iterator0
1671,UnityEngine.UI,ScrollRect
1672,,MovementType
1673,,ScrollbarVisibility
1674,,ScrollRectEvent
1675,UnityEngine.UI,Selectable
1676,,Transition
1677,,SelectionState
1678,UnityEngine.UI,SetPropertyUtility
1679,UnityEngine.UI,Slider
1680,,Direction
1681,,SliderEvent
1682,,Axis
1683,UnityEngine.UI,SpriteState
1684,UnityEngine.UI,StencilMaterial
1685,,MatEntry
1686,UnityEngine.UI,Text
1687,UnityEngine.UI,Toggle
1688,,ToggleTransition
1689,,ToggleEvent
1690,UnityEngine.UI,ToggleGroup
1691,UnityEngine.UI,ClipperRegistry
1692,UnityEngine.UI,Clipping
1693,UnityEngine.UI,IClipper
1694,UnityEngine.UI,IClippable
1695,UnityEngine.UI,RectangularVertexClipper
1696,UnityEngine.UI,AspectRatioFitter
1697,,AspectMode
1698,UnityEngine.UI,CanvasScaler
1699,,ScaleMode
1700,,ScreenMatchMode
1701,,Unit
1702,UnityEngine.UI,ContentSizeFitter
1703,,FitMode
1704,UnityEngine.UI,GridLayoutGroup
1705,,Corner
1706,,Axis
1707,,Constraint
1708,UnityEngine.UI,HorizontalLayoutGroup
1709,UnityEngine.UI,HorizontalOrVerticalLayoutGroup
1710,UnityEngine.UI,ILayoutElement
1711,UnityEngine.UI,ILayoutController
1712,UnityEngine.UI,ILayoutGroup
1713,UnityEngine.UI,ILayoutSelfController
1714,UnityEngine.UI,ILayoutIgnorer
1715,UnityEngine.UI,LayoutElement
1716,UnityEngine.UI,LayoutGroup
1717,,<DelayedSetDirty>c__Iterator0
1718,UnityEngine.UI,LayoutRebuilder
1719,UnityEngine.UI,LayoutUtility
1720,UnityEngine.UI,VerticalLayoutGroup
1721,UnityEngine.UI,IMaterialModifier
1722,UnityEngine.UI.Collections,IndexedSet`1
1723,UnityEngine.UI,ListPool`1
1724,UnityEngine.UI,ObjectPool`1
1725,UnityEngine.UI,ReflectionMethodsCache
1726,,Raycast3DCallback
1727,,Raycast2DCallback
1728,,RaycastAllCallback
1729,,GetRayIntersectionAllCallback
1730,,GetRayIntersectionAllNonAllocCallback
1731,,GetRaycastNonAllocCallback
1732,UnityEngine.UI,VertexHelper
1733,UnityEngine.UI,BaseVertexEffect
1734,UnityEngine.UI,BaseMeshEffect
1735,UnityEngine.UI,IVertexModifier
1736,UnityEngine.UI,IMeshModifier
1737,UnityEngine.UI,Outline
1738,UnityEngine.UI,PositionAsUV1
1739,UnityEngine.UI,Shadow
1740,,<PrivateImplementationDetails>
1741,,$ArrayType=12
1742,,<Module>
1743,,BarWithLabel
1744,,Button
1745,,BuyableComponent
1746,,ExchangeType
1747,,ComponentCategory
1748,,ComponentType
1749,,Cores
1750,,FuelCellData
1751,,HeatManagementData
1752,,ComponentTypes
1753,,Helper
1754,,FuelCellTemplate
1755,,Content
1756,,MenuState
1757,,Controller
1758,,RijndaelSimple
1759,,Explosion
1760,,HelpElement
1761,,InfoBanner
1762,,Legacy
1763,,PlayerPrefsData
1764,,Persistence
1765,,Player
1766,,Index2
1767,,Index3
1768,,ReactorInfo
1769,,Reactor
1770,,Tile
1771,,ReactorComponent
1772,,ReactorInputHandler
1773,,ReactorLayout
1774,,Dimensions
1775,,SpaceValidityDelegate
1776,,ReactorLayouts
1777,,ReactorUIHandler
1778,,ShopManager
1779,,ShopPageButton
1780,,Simulation
1781,,Sprites
1782,,StatisticsManager
1783,,ToggleButton
1784,,Upgrade
1785,,UpgradeManager
1786,,UpgradeShopManager
1787,,UpgradeType
1788,,Category
1789,,Bonus
1790,,UpgradeTypes
1791,,GameException
1792,,InterpFunc
1793,,InterpFunc`1
1794,,InterpFuncs
1795,,Float
1796,,Vec2
1797,,Vec3
1798,,Maybe
1799,,Maybe`1
1800,,Utility
1801,,<OrderWithPreferences>c__AnonStorey0`1
