component_id,gameobject_id,type,script_class,script_namespace,script_assembly,field_count
122,3,Sprite,,,,0
123,4,Sprite,,,,0
124,6,Sprite,,,,0
125,8,Sprite,,,,0
126,9,Sprite,,,,0
127,11,Sprite,,,,0
128,15,Sprite,,,,0
129,16,Sprite,,,,0
130,19,Sprite,,,,0
131,22,Sprite,,,,0
132,26,Sprite,,,,0
133,30,Sprite,,,,0
134,32,Sprite,,,,0
135,35,Sprite,,,,0
136,39,Sprite,,,,0
137,40,Sprite,,,,0
138,41,Sprite,,,,0
139,44,Sprite,,,,0
140,45,Sprite,,,,0
141,51,Sprite,,,,0
142,54,Sprite,,,,0
143,56,Sprite,,,,0
144,58,Sprite,,,,0
145,59,Sprite,,,,0
146,61,Sprite,,,,0
147,62,Sprite,,,,0
148,64,Sprite,,,,0
149,66,Sprite,,,,0
150,70,Sprite,,,,0
151,71,Sprite,,,,0
152,73,Sprite,,,,0
153,74,Sprite,,,,0
154,79,Sprite,,,,0
155,81,Sprite,,,,0
156,82,Sprite,,,,0
157,85,Sprite,,,,0
158,93,Sprite,,,,0
159,97,Sprite,,,,0
160,98,Sprite,,,,0
161,99,Sprite,,,,0
162,100,Sprite,,,,0
163,105,Sprite,,,,0
164,106,Sprite,,,,0
165,108,Sprite,,,,0
166,111,Sprite,,,,0
167,112,Sprite,,,,0
168,113,Sprite,,,,0
169,114,Sprite,,,,0
170,119,Sprite,,,,0
171,120,Sprite,,,,0
172,93,Sprite,,,,0
173,20,Sprite,,,,0
174,1,Sprite,,,,0
175,5,Sprite,,,,0
176,14,Sprite,,,,0
177,17,Sprite,,,,0
178,22,Sprite,,,,0
179,24,Sprite,,,,0
180,29,Sprite,,,,0
181,38,Sprite,,,,0
182,49,Sprite,,,,0
183,51,Sprite,,,,0
184,52,Sprite,,,,0
185,67,Sprite,,,,0
186,69,Sprite,,,,0
187,75,Sprite,,,,0
188,80,Sprite,,,,0
189,88,Sprite,,,,0
190,89,Sprite,,,,0
191,91,Sprite,,,,0
192,95,Sprite,,,,0
193,101,Sprite,,,,0
194,115,Sprite,,,,0
195,116,Sprite,,,,0
196,93,Sprite,,,,0
197,93,Sprite,,,,0
199,93,Sprite,,,,0
201,3,Sprite,,,,0
202,4,Sprite,,,,0
203,6,Sprite,,,,0
204,8,Sprite,,,,0
205,9,Sprite,,,,0
206,11,Sprite,,,,0
207,15,Sprite,,,,0
208,16,Sprite,,,,0
209,22,Sprite,,,,0
210,26,Sprite,,,,0
211,30,Sprite,,,,0
212,35,Sprite,,,,0
213,39,Sprite,,,,0
214,40,Sprite,,,,0
215,41,Sprite,,,,0
216,44,Sprite,,,,0
217,45,Sprite,,,,0
218,51,Sprite,,,,0
219,54,Sprite,,,,0
220,56,Sprite,,,,0
221,59,Sprite,,,,0
222,61,Sprite,,,,0
223,62,Sprite,,,,0
224,64,Sprite,,,,0
225,66,Sprite,,,,0
226,70,Sprite,,,,0
227,71,Sprite,,,,0
228,73,Sprite,,,,0
229,74,Sprite,,,,0
230,79,Sprite,,,,0
231,81,Sprite,,,,0
232,82,SpriteRenderer,,,,0
233,97,SpriteRenderer,,,,0
234,98,SpriteRenderer,,,,0
235,99,SpriteRenderer,,,,0
236,100,SpriteRenderer,,,,0
237,106,SpriteRenderer,,,,0
238,108,SpriteRenderer,,,,0
239,111,SpriteRenderer,,,,0
240,112,SpriteRenderer,,,,0
241,113,SpriteRenderer,,,,0
242,114,SpriteRenderer,,,,0
243,119,SpriteRenderer,,,,0
244,120,SpriteRenderer,,,,0
245,1,CanvasRenderer,,,,0
246,2,CanvasRenderer,,,,0
247,5,CanvasRenderer,,,,0
248,7,CanvasRenderer,,,,0
249,12,CanvasRenderer,,,,0
250,14,CanvasRenderer,,,,0
251,17,CanvasRenderer,,,,0
252,20,CanvasRenderer,,,,0
253,21,CanvasRenderer,,,,0
254,23,CanvasRenderer,,,,0
255,25,CanvasRenderer,,,,0
256,27,CanvasRenderer,,,,0
257,28,CanvasRenderer,,,,0
258,29,CanvasRenderer,,,,0
259,31,CanvasRenderer,,,,0
260,33,CanvasRenderer,,,,0
261,34,CanvasRenderer,,,,0
262,36,CanvasRenderer,,,,0
263,37,CanvasRenderer,,,,0
264,38,CanvasRenderer,,,,0
265,42,CanvasRenderer,,,,0
266,43,CanvasRenderer,,,,0
267,46,CanvasRenderer,,,,0
268,47,CanvasRenderer,,,,0
269,48,CanvasRenderer,,,,0
270,49,CanvasRenderer,,,,0
271,50,CanvasRenderer,,,,0
272,52,CanvasRenderer,,,,0
273,53,CanvasRenderer,,,,0
274,57,CanvasRenderer,,,,0
275,60,CanvasRenderer,,,,0
276,63,CanvasRenderer,,,,0
277,65,CanvasRenderer,,,,0
278,67,CanvasRenderer,,,,0
279,68,CanvasRenderer,,,,0
280,69,CanvasRenderer,,,,0
281,72,CanvasRenderer,,,,0
282,75,CanvasRenderer,,,,0
283,76,CanvasRenderer,,,,0
284,77,CanvasRenderer,,,,0
285,78,CanvasRenderer,,,,0
286,80,CanvasRenderer,,,,0
287,84,CanvasRenderer,,,,0
288,86,CanvasRenderer,,,,0
289,87,CanvasRenderer,,,,0
290,88,CanvasRenderer,,,,0
291,89,CanvasRenderer,,,,0
292,90,CanvasRenderer,,,,0
293,91,CanvasRenderer,,,,0
294,92,CanvasRenderer,,,,0
295,94,CanvasRenderer,,,,0
296,95,CanvasRenderer,,,,0
297,96,CanvasRenderer,,,,0
298,101,CanvasRenderer,,,,0
299,102,CanvasRenderer,,,,0
300,103,CanvasRenderer,,,,0
301,104,CanvasRenderer,,,,0
302,107,CanvasRenderer,,,,0
303,109,CanvasRenderer,,,,0
304,110,CanvasRenderer,,,,0
305,115,CanvasRenderer,,,,0
306,116,CanvasRenderer,,,,0
307,121,CanvasRenderer,,,,0
308,10,Canvas,,,,0
309,13,Canvas,,,,0
310,24,Canvas,,,,0
311,92,Canvas,,,,0
312,1,RectTransform,,,,0
313,2,RectTransform,,,,0
314,5,RectTransform,,,,0
315,7,RectTransform,,,,0
316,10,RectTransform,,,,0
317,12,RectTransform,,,,0
318,13,RectTransform,,,,0
319,17,RectTransform,,,,0
320,18,RectTransform,,,,0
321,20,RectTransform,,,,0
322,21,RectTransform,,,,0
323,23,RectTransform,,,,0
324,24,RectTransform,,,,0
325,25,RectTransform,,,,0
326,27,RectTransform,,,,0
327,28,RectTransform,,,,0
328,29,RectTransform,,,,0
329,31,RectTransform,,,,0
330,33,RectTransform,,,,0
331,34,RectTransform,,,,0
332,36,RectTransform,,,,0
333,37,RectTransform,,,,0
334,38,RectTransform,,,,0
335,42,RectTransform,,,,0
336,43,RectTransform,,,,0
337,46,RectTransform,,,,0
338,47,RectTransform,,,,0
339,48,RectTransform,,,,0
340,49,RectTransform,,,,0
341,50,RectTransform,,,,0
342,52,RectTransform,,,,0
343,53,RectTransform,,,,0
344,55,RectTransform,,,,0
345,57,RectTransform,,,,0
346,60,RectTransform,,,,0
347,63,RectTransform,,,,0
348,65,RectTransform,,,,0
349,67,RectTransform,,,,0
350,68,RectTransform,,,,0
351,69,RectTransform,,,,0
352,14,RectTransform,,,,0
353,72,RectTransform,,,,0
354,75,RectTransform,,,,0
355,76,RectTransform,,,,0
356,77,RectTransform,,,,0
357,78,RectTransform,,,,0
358,80,RectTransform,,,,0
359,83,RectTransform,,,,0
360,84,RectTransform,,,,0
361,116,RectTransform,,,,0
362,86,RectTransform,,,,0
363,87,RectTransform,,,,0
364,88,RectTransform,,,,0
365,89,RectTransform,,,,0
366,90,RectTransform,,,,0
367,91,RectTransform,,,,0
368,92,RectTransform,,,,0
369,94,RectTransform,,,,0
370,95,RectTransform,,,,0
371,96,RectTransform,,,,0
372,101,RectTransform,,,,0
373,102,RectTransform,,,,0
374,103,RectTransform,,,,0
375,104,RectTransform,,,,0
376,107,RectTransform,,,,0
377,109,RectTransform,,,,0
378,110,RectTransform,,,,0
379,115,RectTransform,,,,0
380,117,RectTransform,,,,0
381,118,RectTransform,,,,0
382,121,RectTransform,,,,0
383,85,MonoBehaviour,,,,0
384,1,MonoBehaviour,,,,0
385,1,MonoBehaviour,,,,0
386,2,MonoBehaviour,,,,0
387,2,MonoBehaviour,,,,0
388,3,MonoBehaviour,,,,0
389,5,MonoBehaviour,,,,0
390,5,MonoBehaviour,,,,0
391,7,MonoBehaviour,,,,0
392,10,MonoBehaviour,,,,0
393,12,MonoBehaviour,,,,0
394,13,MonoBehaviour,,,,0
395,14,MonoBehaviour,,,,0
396,14,MonoBehaviour,,,,0
397,15,MonoBehaviour,,,,0
398,16,MonoBehaviour,,,,0
399,17,MonoBehaviour,,,,0
400,17,MonoBehaviour,,,,0
401,19,MonoBehaviour,,,,0
402,20,MonoBehaviour,,,,0
403,20,MonoBehaviour,,,,0
404,21,MonoBehaviour,,,,0
405,22,MonoBehaviour,,,,0
406,23,MonoBehaviour,,,,0
407,24,MonoBehaviour,,,,0
408,25,MonoBehaviour,,,,0
409,26,MonoBehaviour,,,,0
410,27,MonoBehaviour,,,,0
411,28,MonoBehaviour,,,,0
412,29,MonoBehaviour,,,,0
413,29,MonoBehaviour,,,,0
414,31,MonoBehaviour,,,,0
415,33,MonoBehaviour,,,,0
416,34,MonoBehaviour,,,,0
417,36,MonoBehaviour,,,,0
418,36,MonoBehaviour,,,,0
419,37,MonoBehaviour,,,,0
420,38,MonoBehaviour,,,,0
421,38,MonoBehaviour,,,,0
422,41,MonoBehaviour,,,,0
423,42,MonoBehaviour,,,,0
424,43,MonoBehaviour,,,,0
425,44,MonoBehaviour,,,,0
426,46,MonoBehaviour,,,,0
427,47,MonoBehaviour,,,,0
428,48,MonoBehaviour,,,,0
429,49,MonoBehaviour,,,,0
430,49,MonoBehaviour,,,,0
431,51,MonoBehaviour,,,,0
432,52,MonoBehaviour,,,,0
433,52,MonoBehaviour,,,,0
434,53,MonoBehaviour,,,,0
435,54,MonoBehaviour,,,,0
436,57,MonoBehaviour,,,,0
437,59,MonoBehaviour,,,,0
438,60,MonoBehaviour,,,,0
439,62,MonoBehaviour,,,,0
440,63,MonoBehaviour,,,,0
441,64,MonoBehaviour,,,,0
442,65,MonoBehaviour,,,,0
443,67,MonoBehaviour,,,,0
444,67,MonoBehaviour,,,,0
445,68,MonoBehaviour,,,,0
446,69,MonoBehaviour,,,,0
447,69,MonoBehaviour,,,,0
448,70,MonoBehaviour,,,,0
449,72,MonoBehaviour,,,,0
450,73,MonoBehaviour,,,,0
451,74,MonoBehaviour,,,,0
452,75,MonoBehaviour,,,,0
453,75,MonoBehaviour,,,,0
454,76,MonoBehaviour,,,,0
455,77,MonoBehaviour,,,,0
456,78,MonoBehaviour,,,,0
457,79,MonoBehaviour,,,,0
458,80,MonoBehaviour,,,,0
459,80,MonoBehaviour,,,,0
460,81,MonoBehaviour,,,,0
461,84,MonoBehaviour,,,,0
462,85,MonoBehaviour,,,,0
463,86,MonoBehaviour,,,,0
464,87,MonoBehaviour,,,,0
465,88,MonoBehaviour,,,,0
466,88,MonoBehaviour,,,,0
467,89,MonoBehaviour,,,,0
468,89,MonoBehaviour,,,,0
469,90,MonoBehaviour,,,,0
470,91,MonoBehaviour,,,,0
471,91,MonoBehaviour,,,,0
472,92,MonoBehaviour,,,,0
473,94,MonoBehaviour,,,,0
474,95,MonoBehaviour,,,,0
475,95,MonoBehaviour,,,,0
476,96,MonoBehaviour,,,,0
477,100,MonoBehaviour,,,,0
478,101,MonoBehaviour,,,,0
479,101,MonoBehaviour,,,,0
480,102,MonoBehaviour,,,,0
481,103,MonoBehaviour,,,,0
482,104,MonoBehaviour,,,,0
483,105,MonoBehaviour,,,,0
484,109,MonoBehaviour,,,,0
485,110,MonoBehaviour,,,,0
486,112,MonoBehaviour,,,,0
487,113,MonoBehaviour,,,,0
488,114,MonoBehaviour,,,,0
489,115,MonoBehaviour,,,,0
490,115,MonoBehaviour,,,,0
491,116,MonoBehaviour,,,,0
492,116,MonoBehaviour,,,,0
493,117,MonoBehaviour,,,,0
494,119,MonoBehaviour,,,,0
495,120,MonoBehaviour,,,,0
496,121,MonoBehaviour,,,,0
